segment_id,edge_id,travel_rate
106130759_0,106130759,nan
106130759_1,106130759,nan
106130759_2,106130759,nan
106130759_3,106130759,nan
106130759-AddedOffRampEdge_0,106130759-AddedOffRampEdge,nan
106130759.1186_0,106130759.1186,nan
106130759.1186_1,106130759.1186,nan
106130759.1186_2,106130759.1186,nan
106130759.1186_3,106130759.1186,nan
106130759.1186_4,106130759.1186,nan
106130759.1186_5,106130759.1186,nan
106130759.1186_6,106130759.1186,nan
106130759.1186_7,106130759.1186,nan
106130759.1186_8,106130759.1186,nan
106130759.1186_9,106130759.1186,nan
106130759.1186_10,106130759.1186,nan
106130759.1630_0,106130759.1630,nan
106130759.1630_1,106130759.1630,nan
106130759.1630_2,106130759.1630,nan
106130759.1630_3,106130759.1630,nan
106130759.1630_4,106130759.1630,nan
106130759.1630_5,106130759.1630,nan
106130759.1630_6,106130759.1630,nan
106130759.1868_0,106130759.1868,nan
106130759.1868_1,106130759.1868,nan
106130759.1868_2,106130759.1868,nan
106130759.1868_3,106130759.1868,nan
106130759.2098_0,106130759.2098,nan
106130759.2098_1,106130759.2098,nan
106130759.2098_2,106130759.2098,nan
106130759.2098_3,106130759.2098,nan
106130759.2437_0,106130759.2437,nan
106130759.2437_1,106130759.2437,nan
106130759.2437_2,106130759.2437,nan
106130759.791_0,106130759.791,nan
106130759.791_1,106130759.791,nan
106130759.791_2,106130759.791,nan
106130759.791_3,106130759.791,nan
106130759.791_4,106130759.791,nan
106130759.791_5,106130759.791,nan
11955830_0,11955830,nan
11955830_1,11955830,nan
11955830_2,11955830,nan
11955830_3,11955830,nan
11955830_4,11955830,nan
11955830_5,11955830,nan
11955830_6,11955830,nan
11955831_0,11955831,nan
11955831_1,11955831,nan
11955831_2,11955831,nan
11959492_0,11959492,nan
11959492_1,11959492,nan
11959492_2,11959492,nan
11959492_3,11959492,nan
11959492_4,11959492,nan
11959492_5,11959492,nan
11959492_6,11959492,nan
11959492_7,11959492,nan
11959492_8,11959492,nan
11959492_9,11959492,nan
11959492_10,11959492,nan
11959492_11,11959492,nan
11959492_12,11959492,nan
11959492_13,11959492,nan
11959492_14,11959492,nan
11959492_15,11959492,nan
11959492_16,11959492,nan
11959492_17,11959492,nan
11959492_18,11959492,nan
11994462_0,11994462,nan
11994462_1,11994462,nan
11994462_2,11994462,nan
11994462_3,11994462,nan
11994462_4,11994462,nan
11994462_5,11994462,nan
